week 1,,,week 2,,,week 3,,,week 4
recipes,11,,actors,11,,colleges & universities,10,,budgets,12
term limitations,11,,architecture,11,,community relations,10,,chambers of commerce,12
voter registration,11,,attorneys,11,,congressional committees,10,,donations,12
athletic drafts & trades,10,,christianity,11,,congressional districts,10,,food programs,12
attorneys,10,,congressional districts,11,,dance,10,,intelligence gathering,12
border security,10,,contests,11,,electronic cigarettes,10,,narcotics,12
caregivers,10,,coronaviruses,11,,employment,10,,small business,12
christianity,10,,corporate profiles,11,,endorsements,10,,appointments & personnel changes,11
costs,10,,disorderly conduct,11,,legislators,10,,baseball,11
economic summit conferences,10,,employees,11,,mardi gras,10,,community support,11
